NIFTY TOTAL MARKET,NIFTY 50,NIFTY BANK,NIFTY NEXT 50,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY REALTY,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY ENERGY,NIFTY INFRASTRUCTURE,NIFTY INDIA DEFENCE,NIFTY INDIA TOURISM,NIFTY CAPITAL MARKETS,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY MOBILITY,NIFTY RURAL
MANKIND,,,,,,,,,,,,,,,,,,,,,,,,,
UNOMINDA,,,,,,,,,,,,,,,,,,,,,,,,,
NAVINFLUOR,,,,,,,,,,,,,,,,,,,,,,,,,
TIINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
ENRIN,,,,,,,,,,,,,,,,,,,,,,,,,
KRN,,,,,,,,,,,,,,,,,,,,,,,,,
SUPREMEIND,,,,,,,,,,,,,,,,,,,,,,,,,
GRSE,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,,,,,,,,,,,,,,,,,,,,,,,,,
NHPC,,,,,,,,,,,,,,,,,,,,,,,,,
RAIN,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,,,,,,,,,,,,,,,,,,,,,,,,,
MRF,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,
KALYANKJIL,,,,,,,,,,,,,,,,,,,,,,,,,
AVANTIFEED,,,,,,,,,,,,,,,,,,,,,,,,,
360ONE,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTRAJ,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,
TARIL,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,,,,,,,,,,,,,,,,,,,,,,,,,
ECLERX,,,,,,,,,,,,,,,,,,,,,,,,,
MGL,,,,,,,,,,,,,,,,,,,,,,,,,
GUJGASLTD,,,,,,,,,,,,,,,,,,,,,,,,,
GMDCLTD,,,,,,,,,,,,,,,,,,,,,,,,,
SCI,,,,,,,,,,,,,,,,,,,,,,,,,
IREDA,,,,,,,,,,,,,,,,,,,,,,,,,
RENUKA,,,,,,,,,,,,,,,,,,,,,,,,,
MFSL,,,,,,,,,,,,,,,,,,,,,,,,,
POONAWALLA,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,,
OBEROIRLTY,,,,,,,,,,,,,,,,,,,,,,,,,
PRESTIGE,,,,,,,,,,,,,,,,,,,,,,,,,
NBCC,,,,,,,,,,,,,,,,,,,,,,,,,
ZYDUSLIFE,,,,,,,,,,,,,,,,,,,,,,,,,
PATANJALI,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,,,,,,,,,,,,,,,,,,,,,,,,,
